token,value,dimension
zhe_theta,2.0031656231092436849864008930407563082881593613296452264178598719191309733119764029784433141257514661476854771230283164666113,-
G_Gi,1.0149416064096536250212025542745202859416893075302997920174891067765974762582440221364703542282566949458618275313598876259754,-
V_fe,2.0298832128193072500424051085490405718833786150605995840349782135531949525164880442729407084565133898917236550627197752519507,-
K,0.91596559417721901505460351493238411077414937428167213426649811962176301977625476947935651292611510624857442261919619957903590,-
C_d,0.29156090403081878013838445646839491886406615398583727026100156911174763688043886172662682430313405890897280277877923241568710,-
D_d,1.7916228120695934247305470893429824322681343931329547677675834764994250742376578960132266351161731459150455371868705110476212,-
omega_1,0.76497701852859643745659708615441217928641447358046474803090584295476118089968713823441926028293767232625497274133512357650093418+1.324979062714087467985267124736329026928901403651918147595178931376589751296080935204115245000037690414507155972690646737033518218j,-
omega_2,1.52995403705719287491319417230882435857282894716092949606181168590952236179937427646883852056587534465250994548267024715300186836,-
Im(omega_1),1.324979062714087467985267124736329026928901403651918147595178931376589751296080935204115245000037690414507155972690646737033518218,-i^i^i^...,0.43828293672703211162697516355126482426789735164639460360922124049579153222269568766917214053820407549289064494973047269015562+0.36059247187138548595294052690600065382657703078602700474145129838046019521150773053292275414002568647305752347153230156355396j,-
i,1j,-
phi_i,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000+0.86602540378443864676372317075293618347140262690519031402790348972596650845440001854057309337862428783781307070770335151498497j,-
G_g,1.1587284730181215178282335099335091496882922664920965118206958848206698025591960931993216107308604381759674951803405182901393,-
pi,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938,-
P_up,2.2955871493926380740342980491894903875978322036385834839299753466441096626841331266840944262378976155917536624230187892136869,-
s,5.2441151085842396209296791797822388273655099028632463256336434076015811741408285004605910659228581868922715053435664361112179,-
L,2.6220575542921198104648395898911194136827549514316231628168217038007905870704142502302955329614290934461357526717832180556090,-
L_1,1.3110287771460599052324197949455597068413774757158115814084108519003952935352071251151477664807145467230678763358916090278045,-
L_2,0.59907011736779610371996124614016193911360633160782577913183747647320260707195783541794277824489669468795361254862188113796444,-
C_U,0.84721308479397908660649912348219163648144591032694218506057937265973400483413475972320029399461122994212228562523341096309796,-
G_Ga,0.83462684167407318628142973279904680899399301349034700244982737010368199270952641186969116035127532412906785035241201008672479,-
W_We,0.47494937998792065033250463632798296855954937321720298228333102486455792917488386027427564125050214441890378494262395464775250,-
C_R1,0.998136044598509332150024459047074735311382994763043982185583874070350324689464413357717727086750582618,-
M,-1.747564594633182190636212035544397403485161436624741758152825350761546587815932963156942126387440772,-
e,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251664274274663919320030599218174,-
γ,0.57721566490153286060651209008240243104215933593992359880576723488486772677766467093694706329174674951463144724980708248096050,-
S,0.822825249678847032995328716261464949475693118894850218393815613037090956446401667572195325732344532472,-
δ,1.822825249678847032995328716261464949475693118894850218393815613037090956446401667572195325732344532472,-
j_01,2.4048255576957727686216318793264546431242449091459671357069990905967658386771940292044363437601452547868924504447698653269388,-
C_CFP,1.1996786402577338339163698486411419442614587884186072089154777839181247252238474799990869921465093798859055084152992885360972,-
D_Do,0.73908513321516064165531208767387340401341175890075746496568063577328465488354759459937610693176653184980124664398716302771490,-
L_LL,0.66274341934918158097474209710925290705623354911502241752039253499097185308651127724965480259895818168886976750115062663682748,-
α_F,2.5029078750958928222839028732182157863812713767271499773361920567792354631795902067032996497464338413,-
δ_F,4.669201609102990671853203820466201617258185577475768632745651343004134330211314737138689744023948013817,-P,1.3247179572447460259609088544780973407344040569017333645340150503028278512455475940546993479817872803299109209947422074251089,-
S*,3.2469796037174670610500097680084796212645494617928042107310988781937073049129745691518850146531707433341161844183490860182715,-
C_Q,0.60544365719673274947892284244720747522089949695632261787755287745182899835167635675704729213834270415236423385710966391691390,-
T_0,273.15,K
p_0,1e5,pascal
p_1,101325.003754773,pascal
E_1,6.09110229711386e-24,J
f_1,5.4e14,Hz
lambda_peak,4.9651142317442763036987591313228939440555849867972509728144461447804639879574529722382704506600096082977694062916908818191359,-
nu_peak,2.8214393721220788934031913302944851953458817440731140922798576939412143045055173912456865653478396443895990337120573954186694,-
Re(ipt),0.43828293672703211162697516355126482426789735164639460360922124049579153222269568766917214053820407549289064494973047269015562,-
Im(ipt),0.36059247187138548595294052690600065382657703078602700474145129838046019521150773053292275414002568647305752347153230156355396,-
K_-6,1.1565523744215144231526059987434100468402130707187612922310670773828672271503576643926517971839293425055696043382689750655751,-
L_Li,0.11000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000,-
x_infinity,2.2931662874118610315080282912508058643722572903271212485377103961685064880091577436290420138048282566124607035077774601726483,-
φ,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072041893911374847540880753868917521266,-
P*,0.41468250985111166024810962215430770836577423813791697786824541448864096061935733419629004842847577793961615935208298595783575,-
